,condition,sub,networks,mPHI,FC_ENT,ENT_PHI,ENT_Q,ENT_PC,ENT_SIG,mSIG
408,VS,sbj-VS-4,Cor4,0.691450031,1.227888356,0.826037165,1.258184601,1.681626898,0,2.325351726
409,VS,sbj-VS-5,Cor4,0.748383247,1.006781625,1.03362991,1.13342892,1.667263287,0,1.956096314
410,VS,sbj-VS-6,Cor4,0.631547911,0.601564247,0.570367358,0.894532271,1.515087447,0,2.238165656
411,VS,sbj-VS-7,Cor4,0.652292566,0.785535251,0.667903143,0.98044291,1.424888498,0,2.508620379
412,VS,sbj-VS-8,Cor4,0.694647522,0.960330535,0.792556028,1.243788867,1.85435169,0,1.841972258
413,VS,sbj-VS-9,Cor4,0.733165898,0.990909103,0.793432774,1.286416238,1.679640544,0,2.584650418
414,VS,sbj-VS-10,Cor4,0.718117986,0.924517416,0.845274985,1.038559017,1.700551159,0,1.696176212
415,VS,sbj-VS-11,Cor4,0.692997168,0.591702984,0.672749023,0.791200774,1.320046989,0,2.252004581
416,VS,sbj-VS-12,Cor4,0.594636489,0.79855078,0.43901266,1.284737531,1.502551559,0,2.179344296
417,VS,sbj-VS-1,SUB,0.729996449,0.762507018,0.517954881,0.77841421,1.41035912,0,2.137247172
418,VS,sbj-VS-2,SUB,0.807020196,0.994908097,1.142861568,1.096293642,1.730614293,0,3.199905054
419,VS,sbj-VS-3,SUB,0.787276846,0.709683149,0.843510015,0.988180036,1.67166432,0,3.271685878
420,VS,sbj-VS-4,SUB,0.691087531,0.826435235,1.070556267,1.128487084,1.680635899,0,2.700426487
421,VS,sbj-VS-5,SUB,0.810173131,1.046170229,1.290400345,1.294082144,1.917071494,0,2.593653211
422,VS,sbj-VS-6,SUB,0.733865586,0.699616704,0.974084837,1.046114049,1.718111195,0,1.682570371
423,VS,sbj-VS-7,SUB,0.726101353,0.947680629,0.715033776,0.92488765,1.531115792,0,1.489224799
424,VS,sbj-VS-8,SUB,0.794468453,1.011905316,1.111671355,1.205740927,1.708950932,0,2.801195946
425,VS,sbj-VS-9,SUB,0.80241176,0.958085798,1.102626045,1.391703863,1.811476526,0,2.145898194
426,VS,sbj-VS-10,SUB,0.77901057,0.896326967,1.037352944,1.374398195,1.865385826,0,3.615083305
427,VS,sbj-VS-11,SUB,0.76891805,0.708087374,0.690145488,0.908068129,1.556259783,0,2.454068046
428,VS,sbj-VS-12,SUB,0.767804644,0.77886396,1.031247252,1.100942109,1.809716635,0,2.085339455
429,VS,sbj-VS-1,AAL,0.705310175,0.603943576,0.988942172,0.791894449,1.551744469,0.971901612,1.813455257
430,VS,sbj-VS-2,AAL,0.741638419,1.150591323,1.176072096,1.343320861,1.806554211,1.348952355,2.567116032
431,VS,sbj-VS-3,AAL,0.738278114,0.727749875,1.024365452,1.152346073,1.575415015,1.238775558,2.400041026
432,VS,sbj-VS-4,AAL,0.72439642,1.07183955,1.097130429,1.360188233,1.65418111,1.30141875,2.694817161
433,VS,sbj-VS-5,AAL,0.777317843,1.128022539,1.281243735,1.262775519,1.7182794,1.285755265,2.659039608
434,VS,sbj-VS-6,AAL,0.68191871,0.717227495,1.046196783,1.039281462,1.593001505,1.1541791,2.339089288
435,VS,sbj-VS-7,AAL,0.716493379,0.861555722,0.95059164,0.811613071,1.597149647,1.171449992,2.188555423
436,VS,sbj-VS-8,AAL,0.749207177,1.031920914,1.114214717,1.147849959,1.883414777,1.17922957,2.412044369
437,VS,sbj-VS-9,AAL,0.760080775,0.974271369,0.989525687,1.428132348,1.728295305,1.228834342,2.453959437
438,VS,sbj-VS-10,AAL,0.713957217,0.981612868,1.147708482,1.069110812,1.691557743,1.218689553,1.939263695
439,VS,sbj-VS-11,AAL,0.691289037,0.603147304,0.922581612,1.070538621,1.472562025,1.033270963,2.261207917
440,VS,sbj-VS-12,AAL,0.669832285,0.840572885,0.891620371,1.288700637,1.565154526,1.199332973,2.654600491
